iter	Passed	Remaining
403	9130	13470
404	9151	13444
405	9173	13421
406	9197	13401
407	9220	13379
408	9243	13356
409	9266	13334
410	9286	13308
411	9307	13283
412	9363	13308
413	9412	13323
414	9438	13304
415	9459	13279
416	9482	13257
417	9516	13250
418	9540	13228
419	9562	13205
420	9583	13180
421	9604	13154
422	9637	13146
423	9661	13124
424	9683	13100
425	9709	13083
426	9734	13062
427	9760	13044
428	9784	13023
429	9807	13001
430	9833	12981
431	9858	12962
432	9884	12943
433	9908	12922
434	9935	12904
435	9976	12905
436	9999	12882
437	10034	12874
438	10057	12852
439	10083	12833
440	10108	12812
441	10129	12787
442	10149	12761
443	10170	12735
444	10191	12710
445	10213	12686
446	10251	12682
447	10277	12663
448	10299	12639
449	10321	12615
450	10344	12592
451	10366	12568
452	10388	12544
453	10411	12521
454	10431	12495
455	10454	12472
456	10479	12451
457	10502	12428
458	10538	12421
459	10563	12400
460	10588	12380
461	10613	12359
462	10635	12335
463	10660	12315
464	10685	12293
465	10710	12273
466	10736	12253
467	10759	12231
468	10781	12207
469	10803	12182
470	10837	12172
471	10859	12147
472	10880	12122
473	10902	12098
474	10923	12073
475	10945	12049
476	10969	12027
477	10993	12005
478	11018	11984
479	11042	11962
480	11065	11939
481	11090	11918
482	11115	11897
483	11137	11874
484	11161	11851
485	11183	11827
486	11203	11802
487	11227	11779
488	11253	11759
489	11276	11736
490	11310	11724
491	11331	11699
492	11357	11679
493	11376	11653
494	11396	11627
495	11418	11602
496	11438	11576
497	11459	11551
498	11480	11526
499	11500	11500
500	11521	11475
501	11542	11450
502	11566	11428
503	11588	11404
504	11610	11380
505	11633	11357
506	11655	11334
507	11680	11312
508	11715	11301
509	11738	11278
510	11759	11253
511	11793	11240
